uses_https,has_ip_in_url,subdomain_count,url_length,hostname_length,path_length,query_length,path_depth,query_param_count,encoded_path_count,encoded_query_count,suspicious_path_keyword_hits,suspicious_query_keyword_hits,sensitive_query_param_hits,dot_count,hyphen_count,digit_count,special_char_count,has_at_symbol,has_double_slash_in_path,has_shortener_domain,has_punycode,suspicious_tld,form_count,input_count,password_field_count,hidden_input_count,has_external_form_action,iframe_count,external_link_count,external_script_count,keyword_login,keyword_verify,keyword_account,keyword_secure,keyword_update,keyword_password,keyword_urgent,keyword_confirm,keyword_signin,suspicious_keyword_hits,redirect_count,final_domain_differs_from_input,redirected,label
1,0,0,28,11,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,42,18,6,0,1,0,0,0,1,0,0,2,1,1,3,0,0,0,0,0,1,4,0,1,0,0,4,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0
1,0,0,47,15,8,6,2,2,0,0,1,1,0,1,0,3,6,0,0,0,0,0,2,6,1,2,0,0,5,3,1,0,1,1,0,1,0,0,0,4,0,0,0,0
1,0,2,64,24,11,15,3,3,0,1,2,2,1,3,1,4,10,0,0,0,0,1,2,7,1,3,1,1,8,4,1,1,1,1,1,1,0,1,0,7,1,0,1,1
0,1,3,78,13,14,12,4,3,0,1,2,2,1,3,0,12,12,0,0,0,0,1,3,9,1,4,1,1,9,5,1,1,1,1,1,1,1,1,0,8,2,1,1,1
0,1,1,72,11,10,20,3,4,0,2,1,3,2,3,0,10,15,0,0,0,0,0,2,7,1,2,1,0,7,4,1,1,1,0,1,1,1,1,0,7,1,1,1,1
0,0,3,91,29,18,24,5,5,1,2,2,3,2,4,2,6,19,1,0,0,0,1,4,12,2,5,1,2,12,6,1,1,1,1,1,1,1,1,1,9,2,1,1,1
1,0,0,31,13,4,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,39,17,5,0,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,1,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,61,20,12,9,3,2,0,1,2,1,1,3,1,4,10,0,0,0,0,1,2,5,1,2,1,0,6,4,1,1,1,1,0,1,0,1,0,6,1,1,1,1
1,0,4,108,35,19,18,5,4,1,1,2,2,1,5,2,8,18,0,0,0,0,1,3,8,1,4,1,2,10,5,1,1,1,1,1,1,1,1,0,9,2,0,1,1
1,0,0,29,12,3,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,44,18,7,4,2,1,0,0,1,1,0,2,1,2,5,0,0,0,0,0,1,3,0,1,0,0,4,2,1,0,0,1,0,0,0,1,1,3,0,0,0,0
0,1,2,74,15,13,16,4,4,0,2,2,3,2,3,0,9,13,0,0,1,0,1,2,6,1,2,1,1,8,4,1,1,1,1,1,1,1,1,1,9,2,1,1,1
0,0,3,88,27,16,21,5,5,1,2,2,3,1,4,2,7,17,1,0,0,0,1,3,10,2,4,1,1,11,6,1,1,1,1,1,1,1,1,1,9,2,1,1,1
1,0,0,33,14,5,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,52,20,9,8,3,2,0,1,1,2,1,3,1,3,8,0,0,0,0,0,1,3,0,1,0,0,4,2,0,0,1,0,1,0,0,1,0,3,1,0,1,0
0,1,4,115,13,24,26,6,6,1,3,2,4,2,3,0,14,19,0,0,1,0,1,5,15,2,6,1,2,13,8,1,1,1,1,1,1,1,1,1,9,3,1,1,1
0,0,2,79,23,14,15,4,3,0,1,2,2,1,3,1,5,14,0,0,0,0,1,2,9,1,3,1,1,8,5,1,1,1,1,0,1,0,1,0,6,2,1,1,1
1,0,1,41,17,6,3,2,1,0,0,1,1,0,2,0,1,4,0,0,0,0,0,1,4,0,1,0,0,3,2,1,0,1,0,0,0,0,0,1,2,0,0,0,0
